student_id,gender,class,study_hours_per_week,attendance_percent,math_score,science_score,english_score,parent_education,total_score,average_score,grade,performance_category,result,at_risk
S1484,Male,10D,9.3,77.9,44.6,41.7,45.1,High School,131.4,43.8,D,Needs Improvement,Pass,False
S1485,Female,10B,6.8,100.0,52.0,58.0,48.1,Masters,158.1,52.7,D,Needs Improvement,Pass,False
S1486,Male,10D,4.5,63.5,35.1,21.7,42.9,High School,99.69999999999999,33.23,F,Needs Improvement,Fail,True
S1487,Female,10D,7.1,60.6,51.2,44.7,59.1,High School,155.0,51.67,D,Needs Improvement,Pass,False
S1488,Male,10B,9.9,97.7,81.0,74.1,64.2,High School,219.3,73.1,C,Average,Pass,False
S1489,Male,10D,17.2,77.5,93.9,79.7,79.0,High School,252.60000000000002,84.2,B,Average,Pass,False
S1490,Female,10B,7.9,72.0,41.9,38.4,42.4,High School,122.69999999999999,40.9,D,Needs Improvement,Pass,False
S1491,Male,10D,10.9,92.5,54.6,58.6,56.8,High School,170.0,56.67,D,Needs Improvement,Pass,False
S1492,Male,10B,9.9,72.7,37.9,42.1,43.4,Bachelors,123.4,41.13,D,Needs Improvement,Pass,False
S1493,Female,10D,14.8,100.0,72.1,69.4,66.2,High School,207.7,69.23,C,Average,Pass,False
S1494,Male,10D,20.0,88.1,87.2,79.5,100.0,Bachelors,266.7,88.9,B,Excellent,Pass,False
S1495,Male,10A,7.9,74.1,56.6,49.6,69.5,Bachelors,175.7,58.57,D,Needs Improvement,Pass,False
S1496,Male,10A,8.0,100.0,52.2,46.5,51.4,Masters,150.1,50.03,D,Needs Improvement,Pass,False
S1497,Female,10D,14.2,72.7,59.5,62.6,66.0,Masters,188.1,62.7,C,Average,Pass,False
S1498,Male,10D,12.7,88.9,67.3,50.6,73.7,Bachelors,191.60000000000002,63.87,C,Average,Pass,False
S1499,Female,10C,17.4,83.6,74.6,76.2,75.8,High School,226.60000000000002,75.53,B,Average,Pass,False
